model_a,model_b,token_idx,token_id,token_str,p_a,p_b,ratio_pA_over_pB
gpt2,gpt2-medium,1,262, the,0.009817258629599633,8.037949106031558e-06,1221.363621503016
gpt2,gpt2-medium,2,4380, People,0.010772041017685191,0.4049839044788595,0.026598689228271542
gpt2,gpt2-medium,3,286, of,0.032282294383519046,0.11144310950969043,0.2896751044147056
gpt2,gpt2-medium,4,262, the,0.5047046851425868,0.7225257042166814,0.6985283460465356
gpt2,gpt2-medium,5,1578, United,0.1660773828699805,0.6011667074777611,0.27625845011738975
gpt2,gpt2-medium,6,1829, States,0.9640642029656477,0.9901136266092428,0.9736904705242726
gpt2,gpt2-medium,7,11,",",0.12441981719822114,0.4216587471868707,0.2950723020174434
gpt2,gpt2-medium,8,287, in,0.02000092384449909,0.9595104061421258,0.02084492645047613
gpt2,gpt2-medium,9,8284, Order,0.0025923421170683057,0.8354207842699362,0.003103037613953693
gpt2,gpt2-medium,10,284, to,0.8506930071836304,0.9993640654925314,0.8512343364721352
gpt2,gpt2-medium,11,1296, form,0.013585777521819336,0.9791233532415944,0.013875450398400522
gpt2,gpt2-medium,12,257, a,0.6126801230775158,0.9911377110724842,0.618158421612826
gpt2,gpt2-medium,13,517, more,0.025245769073129237,0.9976736906972926,0.025304635482052754
gpt2,gpt2-medium,14,2818, perfect,0.07696749703424094,0.9939191440300564,0.07743838872260762
gpt2,gpt2-medium,15,4479, Union,0.8146668986185163,0.9942541771592532,0.8193748815279337
gpt2,gpt2-medium,16,11,",",0.6124665266194351,0.9765806432681803,0.6271540715468029
gpt2,gpt2-medium,17,4474, establish,0.01926055486195186,0.9978071956571305,0.01930288230610258
gpt2,gpt2-medium,18,4796, Justice,0.24300449084771078,0.9142835231569202,0.26578679883527057
gpt2,gpt2-medium,19,11,",",0.21818911169213406,0.99845006264497,0.21852781611744762
gpt2,gpt2-medium,20,38976, insure,0.8614803386841945,0.99937454266226,0.8620194951026814
gpt2,gpt2-medium,21,5928, domestic,0.025743022105120868,0.9967639602213886,0.025826598003606746
gpt2,gpt2-medium,22,833, Tr,0.035717263565956746,0.9996270140875114,0.03573059057288533
gpt2,gpt2-medium,23,26184,anqu,0.8825099148317243,0.9980878508414786,0.8842006383382869
gpt2,gpt2-medium,24,879,ility,0.9246469526738558,0.8434227839345294,1.0963030289037476
gpt2,gpt2-medium,25,11,",",0.8346765692731918,0.992520783504457,0.8409663385849325
